character,state,probability
r8,280,0.001056
r8,281,0.001056
r8,282,0.022175
r8,283,0.001056
r8,284,0.021119
r8,285,0.001056
r8,286,0.001056
r8,287,0.016895
r8,288,0.001056
r8,289,0.001056
r8,29,0.036959
r8,290,0.001056
r8,291,0.001056
r8,292,0.001056
r8,293,0.001056
r8,3,0.001056
r8,30,0.001056
r8,31,0.001056
r8,32,0.002112
r8,33,0.232313
r8,34,0.373812
r8,35,0.001056
r8,36,0.129884
r8,37,0.085533
r8,38,0.010560
r8,39,0.104541
r8,4,0.116156
r8,40,0.001056
r8,41,0.002112
r8,42,0.001056
r8,43,0.178458
r8,44,0.059134
r8,45,0.070750
r8,46,0.162619
r8,47,0.001056
r8,48,0.001056
r8,49,0.028511
r8,5,0.398099
r8,50,0.095037
r8,51,0.001056
r8,52,0.030623
r8,53,0.002112
r8,54,0.001056
r8,55,0.149947
r8,56,0.095037
r8,57,0.047518
r8,58,0.001056
r8,59,0.001056
r8,6,0.025343
r8,60,0.001056
r8,61,0.001056
r8,62,0.006336
r8,63,0.019007
r8,64,0.004224
r8,65,0.005280
r8,66,0.017951
r8,67,0.344245
r8,68,0.017951
r8,69,0.054910
r8,7,0.275607
r8,70,0.032735
r8,71,0.034847
r8,72,0.097149
r8,73,0.001056
r8,74,0.001056
r8,75,0.001056
r8,76,0.001056
r8,77,0.001056
r8,78,0.001056
r8,79,0.003168
r8,8,0.237592
r8,80,0.053854
r8,81,0.001056
r8,82,0.003168
r8,83,0.006336
r8,84,0.001056
r8,85,0.001056
r8,86,0.001056
r8,87,0.008448
r8,88,0.022175
r8,89,0.001056
r8,9,0.322070
r8,90,0.006336
r8,91,0.001056
r8,92,0.168955
r8,93,0.002112
r8,94,0.033791
r8,95,0.017951
r8,96,0.004224
r8,97,0.001056
r8,98,0.001056
r8,99,0.001056
